,driver_id,charge_path
17,1782fb7b52-aec4-441d-8b51-4626c5ea7ab2,"[0.63202231 0.63202231 0.63202231 0.63202231 0.63202231 0.63202231
 0.63202231 0.63202231 0.63202231 0.63202231 0.63202231 0.63202231
 0.68333333 0.8        0.76995524 0.74223849 0.74223849 0.70216023
 0.70216023 0.68571929 0.65923114 0.65923114 0.6464015  0.6464015 ]"
18,187173b1fd-e4e0-4446-a38d-77ccd2592c7c,"[0.72572618 0.72572618 0.72572618 0.72572618 0.72572618 0.72572618
 0.72572618 0.72572618 0.72572618 0.72572618 0.72572618 0.72572618
 0.72572618 0.72572618 0.72572618 0.72572618 0.8        0.79245797
 0.78403619 0.75099561 0.71978958 0.69762524 0.69361462 0.62157214]"
19,19a4992b0a-1436-4825-9998-e14b35661664,"[0.79303308 0.79303308 0.79303308 0.79303308 0.79303308 0.79303308
 0.79303308 0.79303308 0.79303308 0.79303308 0.79303308 0.79303308
 0.79303308 0.79303308 0.79303308 0.8        0.78757963 0.78757963
 0.78454633 0.77076168 0.73093118 0.71413089 0.64391879 0.64391879]"
20,20d31b3dbb-3c68-42e0-8295-6aec6cd7a88d,"[0.67937338 0.67937338 0.67937338 0.67937338 0.67937338 0.67937338
 0.67937338 0.67937338 0.67937338 0.67937338 0.67937338 0.67937338
 0.68333333 0.8        0.78150319 0.78150319 0.78150319 0.77191231
 0.77191231 0.72690118 0.71612413 0.70000713 0.65671798 0.65601223]"
21,21cfe7dac3-0e09-4804-9bd3-f9d2bd60046e,"[0.77222948 0.77222948 0.77222948 0.77222948 0.77222948 0.77222948
 0.77222948 0.77222948 0.77222948 0.77222948 0.77222948 0.8
 0.8        0.8        0.8        0.78496478 0.76196161 0.76014905
 0.7569114  0.72833555 0.71637996 0.71637996 0.69746126 0.68251458]"
22,227cfdd9d0-3d79-4dca-96e2-1d8b48eb0e5f,"[0.79652292 0.79652292 0.79652292 0.79652292 0.79652292 0.79652292
 0.79652292 0.79652292 0.79652292 0.79652292 0.79652292 0.79652292
 0.79652292 0.79652292 0.79652292 0.79652292 0.79652292 0.79652292
 0.8        0.8        0.73892037 0.68066791 0.59048743 0.57847666]"
23,2362a0ae54-11c2-4ffd-bddb-51eb87aff37e,"[0.61425188 0.61425188 0.61425188 0.61425188 0.61425188 0.61425188
 0.61425188 0.61425188 0.61425188 0.61425188 0.61425188 0.61425188
 0.61425188 0.68333333 0.8        0.76265679 0.75847977 0.75847977
 0.75847977 0.73866998 0.73866998 0.70126963 0.70126963 0.67542889]"
24,24f1518dfe-f61f-4c0c-99c4-8ad28b199655,"[0.61869352 0.61869352 0.61869352 0.61869352 0.61869352 0.61869352
 0.61869352 0.61869352 0.61869352 0.61869352 0.61869352 0.61869352
 0.61869352 0.68333333 0.8        0.78372006 0.77918111 0.75550006
 0.74531018 0.74531018 0.72053151 0.72053151 0.72053151 0.71319499]"
25,251b504fbf-81c0-4d8b-9e1f-5e57188ec150,"[0.64396425 0.64396425 0.64396425 0.64396425 0.64396425 0.64396425
 0.64396425 0.64396425 0.64396425 0.64396425 0.64396425 0.64396425
 0.64396425 0.64396425 0.68333333 0.8        0.72160993 0.72160993
 0.67246629 0.66477888 0.66477888 0.65442187 0.65442187 0.60063165]"
26,26289f6cca-bce4-45fb-a7e7-271b98243579,"[0.69651834 0.69651834 0.69651834 0.69651834 0.69651834 0.69651834
 0.69651834 0.69651834 0.69651834 0.69651834 0.69651834 0.69651834
 0.8        0.8        0.78403994 0.78175735 0.78175735 0.76979692
 0.76847046 0.76183615 0.70568092 0.69161352 0.69161352 0.69101667]"
